fecha,medio,titular,texto,alcance
2026-06-01,El País,"Lumora crece en el sector de la movilidad","La empresa Lumora ha anunciado su expansión en transporte compartido.",120000
2026-06-01,Expansión,"El vehículo eléctrico en auge","El mercado de la movilidad eléctrica vive un momento dulce.",85000
2026-06-01,Cinco Días,"Lumora ficha nuevo talento técnico","La compañía Lumora incorpora perfiles junior de automatización.",60000
01/06/2026,ABC,"Lumora abre nuevas oficinas","La empresa Lumora inaugura una nueva sede en Madrid.",55000
2026-06-02,El País,"Tendencias en movilidad para 2026","Las plataformas de micromovilidad transforman las ciudades.",120000
2026-06-02,La Razón,"Movilidad y ciudad, la nueva alianza","Lumora presenta su enfoque de transporte sostenible.",40000
2026-06-02,El Confidencial,"La guerra por el talento digital","Empresas como Lumora compiten por captar perfiles técnicos.",
2026-06-03,El Mundo,"Lumora y la analítica de flotas","El servicio de Lumora para optimizar flotas gana clientes.",95000
2026-06-03,ABC,"Las pymes apuestan por la automatización","Cada vez más empresas, entre ellas Lumora, automatizan procesos.",55000
2026-06-03,Expansión,"Lumora refuerza su equipo de datos","La firma Lumora amplía su área de estructuración de datos.",85000
2026-06-04,Cinco Días,"Lumora cierra un acuerdo clave; firma con un operador","Lumora firma un contrato con un nuevo cliente del sector transporte.",60000
2026-06-04,La Vanguardia,"El dato como activo estratégico","Las compañías que mejor estructuran sus datos lideran el mercado.",70000
2026-06-04,El País,"Lumora, caso de éxito en automatización","El proyecto de Lumora con un gran operador se cita como referencia.",120000
2026-06-05,20minutos,"Empleo joven en tecnología","Las ofertas para perfiles junior técnicos se multiplican este año.",45000
2026-06-05,,"Mención sin medio identificado","Aparece Lumora citada en un agregador sin cabecera clara.",30000
2026-06-05,El Economista,"Automatización: el futuro del back office","Las soluciones de automatización ganan peso en las empresas.",N/D
2026-06-06,El País,"Lumora amplía su flota eléctrica","La empresa Lumora suma 500 vehículos eléctricos a su flota.",120000
2026-06-06,eldiario.es,"Las ciudades repiensan la movilidad","Los ayuntamientos apuestan por el transporte compartido.",38000
2026-06-06,Cinco Días,"Lumora gana un premio a la innovación","Lumora recibe un galardón por su plataforma de datos.",60000
2026-06-07,Expansión,"Inversión en movilidad en España","El sector de la movilidad español crece por encima de la media europea.",85000
2026-06-07,El Mundo,"Lumora y la analítica de flotas","El servicio de Lumora para optimizar flotas gana clientes.",95000
2026-06-07,La Información,"El reparto urbano se electrifica","La última milla se transforma con vehículos eléctricos.",33000
2026-06-08,El País,"Lumora supera el millón de viajes","La plataforma de Lumora alcanza un hito de uso.",120000
2026-06-08,ABC,"Movilidad sostenible y empleo","El sector genera miles de puestos técnicos en España.",55000
2026-06-08,La Razón,"Lumora colabora con el ayuntamiento","Lumora firma un convenio de movilidad con la ciudad.",40000
2026-06-09,Cinco Días,"Lumora presenta resultados semestrales","Lumora comunica sus cifras del primer semestre.",60000
2026-06-09,El Confidencial,"El sector de la micromovilidad madura","Las plataformas consolidan su modelo de negocio.",80000
2026-06-09,Expansión,"Lumora estudia salir a bolsa","La firma Lumora valora una salida a bolsa en 2027.",85000
2026-06-10,El País,"Lumora y la automatización de procesos","Lumora invierte en automatizar su operativa interna.",120000
2026-06-10,20minutos,"Bicis y patinetes compartidos baten récord","El uso de micromovilidad alcanza máximos en las grandes ciudades.",45000
2026-06-10,El Mundo,"Lumora abre mercado en Portugal","La empresa Lumora inicia operaciones en Lisboa.",95000
2026-06-11,La Vanguardia,"Lumora firma alianza con una eléctrica","Lumora acuerda el suministro de energía verde para su flota.",70000
2026-06-11,El Economista,"Las startups de movilidad atraen capital","La inversión en movilidad se dispara este año.",50000
2026-06-12,El País,"Lumora cierra su mejor trimestre","La empresa Lumora comunica un crecimiento récord.",120000
2026-06-12,Cinco Días,"Lumora invierte en analítica de datos","Lumora refuerza su capacidad de análisis de datos.",60000
